?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/UBERON_0004833>	"A portion of skeletal muscle tissue that is part of a lip [Automatically generated definition]."	"MA:0001578"
<http://purl.obolibrary.org/obo/GO_0019953>	"A type of reproduction that combines the genetic material of two gametes (such as a sperm or egg cell or fungal spores). The gametes have an haploid genome (with a single set of chromosomes, the product of a meiotic division) and combines with one another to produce a zygote (diploid)."	"Wikipedia:Sexual_reproduction"
<http://purl.obolibrary.org/obo/UBERON_0004267>	"A portion of connective tissue that is part of a back [Automatically generated definition]."	"MA:0000495"
<http://purl.obolibrary.org/obo/NCBITaxon_2698737>		"GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0035814>	"The sum of epicardial and paracardial fat deposits."	"ZFA:0005765 SCTID:42267001"
<http://purl.obolibrary.org/obo/GO_0030660>	"The lipid bilayer surrounding a vesicle associated with the Golgi apparatus."	
<http://purl.obolibrary.org/obo/CHEBI_75787>	"Any metabolite produced during a metabolic reaction in prokaryotes, the taxon that include members of domains such as the bacteria and archaea."	
<http://purl.obolibrary.org/obo/PATO_0000127>		
<http://purl.obolibrary.org/obo/GO_0048872>	"Any biological process involved in the maintenance of the steady-state number of cells within a population of cells."	
<http://purl.obolibrary.org/obo/PATO_0001445>	"A wholeness quality inhering in a bearer by virtue of the bearer's being taken apart into its constituent parts."	
<http://purl.obolibrary.org/obo/PATO_0000082>	"A rhythm quality inhering in a bearer by virtue of the repetitiveness of bearer's rhythm."	
<http://purl.obolibrary.org/obo/GO_0036195>	"The portion of the plasma membrane surrounding a muscle cell projection."	
<http://purl.obolibrary.org/obo/UBERON_0003292>	"A meninx that is part of a spinal cord [Automatically generated definition]."	"CALOHA:TS-2148 VHOG:0000443 EHDAA:2865 SCTID:181097002 MA:0001130 EMAPA:17804 EHDAA2:0001895 NCIT:C12350"
<http://purl.obolibrary.org/obo/PATO_0001326>		
<http://purl.obolibrary.org/obo/CHEBI_49637>		"WebElements:H"
<http://purl.obolibrary.org/obo/GO_1990863>	"The multiplication or reproduction of acinar cells, resulting in the expansion of a cell population. An acinar cell is a secretory cell that is grouped together with other cells of the same type to form grape-shaped clusters known as acini (singular acinus)."	
<http://purl.obolibrary.org/obo/UBERON_0001612>	"A branch of the external carotid artery that supplies structures of the face. [WP,unvetted]."	"MA:0001950 NCIT:C32578 FMA:49549 EMAPA:19213 SCTID:181328007 Wikipedia:Facial_artery"
<http://purl.obolibrary.org/obo/GO_0099547>	"Any process that modulates synaptic transmission by regulating translation occurring at the synapse."	
<http://purl.obolibrary.org/obo/PATO_0002365>	"Female quality of having complete, unaltered reproductive organs"	
<http://purl.obolibrary.org/obo/GO_0060298>	"Any process that increases the rate, frequency or extent of myofibril assembly by organization of muscle actomyosin into sarcomeres. The sarcomere is the repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."	
<http://purl.obolibrary.org/obo/GO_0140242>	"Translation that occurs at the postsynapse."	
<http://purl.obolibrary.org/obo/PATO_0002068>	"A spatial pattern inhering in a bearer by virtue of the bearer's exhibiting a layered configuration."	
<http://purl.obolibrary.org/obo/GO_0010557>	"Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."	
<http://purl.obolibrary.org/obo/GO_0006915>	"A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."	"Wikipedia:Apoptosis"
<http://purl.obolibrary.org/obo/UBERON_0003828>	"A bone that is part of an abdominal segment of trunk [Automatically generated definition]."	"MA:0000525"
<http://purl.obolibrary.org/obo/GO_0007350>	"The hierarchical steps resulting in the progressive subdivision of the anterior/posterior axis of the embryo."	
<http://purl.obolibrary.org/obo/UBERON_0003057>	"The portion of neural plate posterior to the mid-hindbrain junction."	"TAO:0007017 VHOG:0001201 XAO:0000046 ZFA:0007017"
<http://purl.obolibrary.org/obo/GO_0098938>	"The actin cytoskeleton that is part of a dendritic spine."	
<http://purl.obolibrary.org/obo/UBERON_0003372>	"An unilaminar epithelium that surrounds a pectoral appendage bud."	"EHDAA2:0002134 EMAPA:16407 VHOG:0001047"
<http://purl.obolibrary.org/obo/GO_0061049>	"The growth of a cardiac muscle cell, where growth contributes to the progression of the cell over time from its initial formation to its mature state."	
<http://purl.obolibrary.org/obo/UBERON_0009569>		"SCTID:22943007 FMA:25054"
<http://purl.obolibrary.org/obo/GO_1904778>	"Any process that activates or increases the frequency, rate or extent of protein localization to cell cortex."	
<http://purl.obolibrary.org/obo/UBERON_0006833>	"An anatomical space that surrounded_by a trachea."	"SCTID:197486000 FMA:7469"
<http://purl.obolibrary.org/obo/PATO_0002118>	"A quality inhering in a bearer by virtue of the bearer's being present in more than two copies."	
<http://purl.obolibrary.org/obo/GO_1903119>	"A process in which a protein is transported to, or maintained in, the location of an actin cytoskeleton."	
<http://purl.obolibrary.org/obo/PATO_0002123>	"Being smallest in amount, extent or degree."	
<http://purl.obolibrary.org/obo/PATO_0000258>		
<http://purl.obolibrary.org/obo/UBERON_0002215>	"Cartilaginous joint in which the articulating bones or cartilages are connected by hyaline cartilage. Examples: spheno-occipital synchondrosis, first sternocostal joint.[FMA]."	"FMA:7497 SCTID:42903008 MA:0001501 Wikipedia:Synchondrosis EMAPA:35846"
<http://purl.obolibrary.org/obo/UBERON_0005946>	"An outflow tract that is part of a cardiac atrium."	"FMA:14141"
<http://purl.obolibrary.org/obo/PATO_0002125>	"A quality inhering in a bearer by virtue of the bearer's consisting a knot-like mass."	
<http://purl.obolibrary.org/obo/PATO_0002432>	"A shape that is in the form of a spade."	
<http://purl.obolibrary.org/obo/GO_1900247>	"Any process that modulates the frequency, rate or extent of cytoplasmic translational elongation."	
<http://purl.obolibrary.org/obo/GO_0060452>	"Any process that increases the frequency, rate or extent of cardiac muscle contraction."	
<http://purl.obolibrary.org/obo/GO_0099537>	"Cell-cell signaling in either direction across the synaptic cleft."	
<http://purl.obolibrary.org/obo/GO_0014061>	"Any process that modulates the frequency, rate or extent of the regulated release of norepinephrine."	
<http://purl.obolibrary.org/obo/UBERON_0018321>	"Foramen that allows the passge of the glossopharyngeal nerve (cranial nerve IX)."	
<http://purl.obolibrary.org/obo/GO_0060541>	"The progression of the respiratory system over time from its formation to its mature structure. The respiratory system carries out respiratory gaseous exchange."	
<http://purl.obolibrary.org/obo/PATO_0001309>	"A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point."	
<http://purl.obolibrary.org/obo/UBERON_0000068>	"A life cycle stage that starts with fertilization and ends with the fully formed embryo."	"WBls:0000092 OGES:000022 OGES:000000 WBls:0000102 WBls:0000003 SCTID:296280003 FBdv:00005289 EV:0300001 FMA:72652 BilaDO:0000002 XAO:1000012"
<http://purl.obolibrary.org/obo/PATO_0000259>		
<http://purl.obolibrary.org/obo/PATO_0000126>		
<http://purl.obolibrary.org/obo/GO_0010454>	"Any process that stops, prevents or reduces the frequency or rate of cell fate commitment. Cell fate commitment is the commitment of cells to specific cell fates and their capacity to differentiate into particular kinds of cells. Positional information is established through protein signals that emanate from a localized source within a cell (the initial one-cell zygote) or within a developmental field."	
<http://purl.obolibrary.org/obo/NCBITaxon_6960>		"GC_ID:1"
<http://purl.obolibrary.org/obo/PATO_0001541>	"An amylose composition quality inhering in an bearer by virtue of the bearer's having high amount of amylose content."	
<http://purl.obolibrary.org/obo/PATO_0001913>	"A physiological state which is characterized by periods of high-frequency high amplitude electrical activity in neuronal tissue."	
<http://purl.obolibrary.org/obo/UBERON_0001041>	"Anterior subdivision of a digestive tract."	"EHDAA:520 AAO:0011042 FMA:45616 EHDAA2:0000557 NCIT:C34180 XAO:0000232 MA:0001526 BILA:0000085 SCTID:361409009 TGMA:0001014 BTO:0000507 VHOG:0000285 Wikipedia:Foregut EMAPA:16548"
<http://purl.obolibrary.org/obo/GO_0051418>	"The 'de novo' formation of a microtubule, mediated by the microtubule organizing center."	
<http://purl.obolibrary.org/obo/GO_0046828>	"Any process that modulates the frequency, rate or extent of movement of RNA from the cytoplasm to the nucleus."	
<http://purl.obolibrary.org/obo/CL_2000022>	"Any native cell that is part of a cardiac septum."	
<http://purl.obolibrary.org/obo/GO_0060561>	"Any apoptotic process that contributes to the shaping of an anatomical structure."	
<http://purl.obolibrary.org/obo/CL_0000513>	"A precursor cell destined to differentiate into cardiac muscle cell."	"FMA:84797"
<http://purl.obolibrary.org/obo/PATO_0001939>		
<http://purl.obolibrary.org/obo/GO_0070227>	"Any apoptotic process in a lymphocyte, a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."	
<http://purl.obolibrary.org/obo/GO_1904988>	"Any process that stops, prevents or reduces the frequency, rate or extent of endothelial cell activation."	
<http://purl.obolibrary.org/obo/GO_0099531>	"The pathway leading to secretion of a neurotransmitter from the presynapse as part of synaptic transmission."	
<http://purl.obolibrary.org/obo/PATO_0002082>	"A broken quality inhering in a bearer by virtue of the bearer's being still one contiguous whole but structurally damaged such that in danger of become two or more."	
<http://purl.obolibrary.org/obo/PATO_0001773>	"A quality inhering in a bearer by virtue of the bearer's having only one phase or stage."	
<http://purl.obolibrary.org/obo/UBERON_0010059>		"EHDAA2:0004610"
<http://purl.obolibrary.org/obo/PATO_0002285>	"Branchiness quality inhering in a bearer by virtue of increasing the degree to which there are subdivisions or offshoots in a bearer entity."	
<http://purl.obolibrary.org/obo/PATO_0002348>	"A structural quality inhering in a bearer by virtue of the bearer resembling wood."	
<http://purl.obolibrary.org/obo/UBERON_0003339>	"A ganglion that is part of a central nervous system [Automatically generated definition]."	"FMA:83843 EMAPA:16658 EHDAA2:0000227"
<http://purl.obolibrary.org/obo/GO_0060438>	"The process whose specific outcome is the progression of a trachea over time, from its formation to the mature structure. The trachea is the portion of the airway that attaches to the bronchi as it branches."	
<http://purl.obolibrary.org/obo/PATO_0000382>		
<http://purl.obolibrary.org/obo/CHEBI_76969>	"Any prokaryotic metabolite produced during a metabolic reaction in bacteria."	
<http://purl.obolibrary.org/obo/GO_0032885>	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of polysaccharides."	
<http://purl.obolibrary.org/obo/UBERON_0000047>	"An eye with one concave chamber. Note that 'simple' does not imply a reduced level of complexity or acuity."	"TGMA:0000729 Wikipedia:Eye#Simple_eyes"
<http://purl.obolibrary.org/obo/UBERON_0003544>	"The regions of the brain that are largely or entirely composed of myelinated nerve cell axons and contain few or no neural cell bodies or dendrites."	"NCIT:C49334 MA:0000820 EMAPA:35187"
<http://purl.obolibrary.org/obo/GO_0060986>	"The regulated release of a hormone into the circulatory system."	
<http://purl.obolibrary.org/obo/GO_0048568>	"Development, taking place during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."	
<http://purl.obolibrary.org/obo/GO_0007613>	"The activities involved in the mental information processing system that receives (registers), modifies, stores, and retrieves informational stimuli. The main stages involved in the formation and retrieval of memory are encoding (processing of received information by acquisition), storage (building a permanent record of received information as a result of consolidation) and retrieval (calling back the stored information and use it in a suitable way to execute a given task)."	"Wikipedia:Memory"
<http://purl.obolibrary.org/obo/PATO_0001671>	"A distribution which is relatively high."	
<http://purl.obolibrary.org/obo/GO_1902358>	"The directed movement of sulfate across a membrane."	
<http://purl.obolibrary.org/obo/GO_1904738>	"The orderly movement of a vascular associated smooth muscle cell from one site to another."	
<http://purl.obolibrary.org/obo/UBERON_0013755>	"A blood that is part of a artery."	"FMA:83066"
<http://purl.obolibrary.org/obo/UBERON_0001592>	"The bronchial veins are small vessels that return blood from the larger bronchi and structures at the roots of the lungs. The right side drains into the azygos vein, while the left side drains into the left superior intercostal vein or the accessory hemiazygos vein. The bronchial veins are counterparts to the bronchial arteries. The veins, however, do not return all of the blood supplied by the arteries; much of the blood that is carried in the bronchial arteries is returned to the heart via the pulmonary veins. [WP,unvetted]."	"EMAPA:36284 MA:0002088 Wikipedia:Bronchial_veins NCIT:C53031 FMA:4749 SCTID:198293000"
<http://purl.obolibrary.org/obo/GO_0007076>	"The cell cycle process in which chromatin structure is compacted prior to and during mitosis in eukaryotic cells."	
<http://purl.obolibrary.org/obo/GO_1901459>	"Any process that activates or increases the frequency, rate or extent of response to acetate."	
<http://purl.obolibrary.org/obo/GO_0048339>	"The process whose specific outcome is the progression of the paraxial mesoderm over time, from its formation to the mature structure. The paraxial mesoderm is the mesoderm located bilaterally adjacent to the notochord and neural tube."	
<http://purl.obolibrary.org/obo/GO_1905293>	"Any process that stops, prevents or reduces the frequency, rate or extent of neural crest cell differentiation."	
<http://purl.obolibrary.org/obo/GO_0021819>	"The detachment of cells from radial glial fibers at the appropriate time when they cease to migrate and form distinct layer in the cerebral cortex."	
<http://purl.obolibrary.org/obo/UBERON_0006930>		"FMA:66809"
<http://purl.obolibrary.org/obo/PATO_0000739>		
<http://purl.obolibrary.org/obo/CHEBI_58942>	"An amino-acid residue protonated on nitrogen."	
<http://purl.obolibrary.org/obo/GO_0055026>	"Any process that stops, prevents, or reduces the frequency, rate or extent of cardiac muscle tissue development."	
<http://purl.obolibrary.org/obo/PATO_0000606>		
<http://purl.obolibrary.org/obo/GO_1901951>	"Any process that modulates the frequency, rate or extent of anterograde dense core granule transport."	
<http://purl.obolibrary.org/obo/PATO_0001481>	"A shape quality inhering in a bearer by virtue of the bearer's having an oblique or slanted direction."	
<http://purl.obolibrary.org/obo/GO_0014003>	"The process aimed at the progression of an oligodendrocyte over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. An oligodendrocyte is a type of glial cell involved in myelinating the axons in the central nervous system."	
<http://purl.obolibrary.org/obo/GO_0051222>	"Any process that activates or increases the frequency, rate or extent of the directed movement of a protein into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/CL_0000099>	"Most generally any neuron which is not motor or sensory. Interneurons may also refer to neurons whose axons remain within a particular brain region as contrasted with projection neurons which have axons projecting to other brain regions."	"BTO:0003811 FMA:67313 WBbt:0005113"
<http://purl.obolibrary.org/obo/GO_0005930>	"The bundle of microtubules and associated proteins that forms the core of cilia (also called flagella) in eukaryotic cells and is responsible for their movements."	"Wikipedia:Axoneme"
<http://purl.obolibrary.org/obo/GO_1903778>	"A process in which a protein is transported to, or maintained in, a location within a vacuolar membrane."	
<http://purl.obolibrary.org/obo/GO_1904754>	"Any process that activates or increases the frequency, rate or extent of vascular associated smooth muscle cell migration."	
<http://purl.obolibrary.org/obo/GO_0110011>	"Any process that modulates the frequency, rate or extent of the assembly, disassembly or arrangement of constituent parts of the basement membrane."	
<http://purl.obolibrary.org/obo/CL_1000272>	"Any secretory cell that is part of some lung."	
<http://purl.obolibrary.org/obo/CL_4028001>	"Any capillary endothelial cell that is part of a lung."	
<http://purl.obolibrary.org/obo/CHEBI_76946>	"Any eukaryotic metabolite produced during a metabolic reaction in fungi, the kingdom that includes microorganisms such as the yeasts and moulds."	
<http://purl.obolibrary.org/obo/CL_0017502>	"Cytoplasm that exhibits a characteristic staining and color, red or pink, with Eosin stain."	
<http://purl.obolibrary.org/obo/GO_0003245>	"The developmental growth of cardiac muscle tissue that contributes to the shaping of the heart."	
<http://purl.obolibrary.org/obo/PATO_0000607>		
<http://purl.obolibrary.org/obo/GO_0046879>	"The regulated release of hormones, substances with a specific regulatory effect on a particular organ or group of cells."	
<http://purl.obolibrary.org/obo/GO_0036477>	"The region of a neuron that includes the cell body (cell soma) and dendrite(s), but excludes the axon."	
<http://purl.obolibrary.org/obo/PATO_0000277>	"A fertility quality inhering in a female by virtue of the bearer's disposition to initiate, sustain, or support reproduction."	
<http://purl.obolibrary.org/obo/PATO_0000385>		
<http://purl.obolibrary.org/obo/CHEBI_24836>		
<http://purl.obolibrary.org/obo/GO_1902864>	"Any process that stops, prevents or reduces the frequency, rate or extent of embryonic camera-type eye development."	
<http://purl.obolibrary.org/obo/PATO_0001549>	"A sensitivity toward an external stimulus which is higher than normal/average."	
<http://purl.obolibrary.org/obo/PATO_0001365>	"A surface feature shape quality inhering in a bearer by virtue of the bearer's having spines, thorns or similar thin projections on its surface."	
<http://purl.obolibrary.org/obo/UBERON_0002416>	"Connected anatomical system that forms a barrier between an animal and its environment. In vertebrates, the integumental system consists of the epidermis, dermis plus associated glands and adnexa such as hair and scales. In invertebrates, the integumental system may include cuticle."	"EHDAA2_RETIRED:0003154 EFO:0000807 SCTID:361692004 BILA:0000118 AEO:0000154 CARO:0002001 EHDAA2:0000836 TADS:0000108 NCIT:C12907 MAT:0000033 EV:0100151 MA:0000014 Wikipedia:Integumentary_system EHDAA:6520 HAO:0000421 EMAPA:17524 FMA:72979 VHOG:0000403 galen:Surface CALOHA:TS-1299 XAO:0000176 MESH:D034582 MIAA:0000033"
<http://purl.obolibrary.org/obo/CL_0005024>	"A motor neuron that innervates a skeletal muscle.  These motor neurons are all excitatory and cholinergic."	
<http://purl.obolibrary.org/obo/PATO_0070042>	"A cell morphology that inheres in retinal neurons which have two principal fibres, an axon and a dendrite, that emerge from opposite end the soma."	
<http://purl.obolibrary.org/obo/PATO_0000252>		
<http://purl.obolibrary.org/obo/PATO_0001315>	"A temperature which is increased by a low degree."	
<http://purl.obolibrary.org/obo/GO_0007000>	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the nucleolus."	
<http://purl.obolibrary.org/obo/PATO_0000642>	"A structural quality inhering in a bearer by virtue of the bearer's being merged with another entity."	
<http://purl.obolibrary.org/obo/UBERON_0002400>	"The outer serous membrane of the pulmonary pleural."	"FMA:9733 Wikipedia:Parietal_pleura MA:0002488 EMAPA:16776 NCIT:C33273 VHOG:0001495 SCTID:361998003"
<http://purl.obolibrary.org/obo/GO_0009880>	"The process that results in the patterns of cell differentiation that will arise in an embryo."	
<http://purl.obolibrary.org/obo/GO_0070013>	"An organelle lumen that is part of an intracellular organelle."	
<http://purl.obolibrary.org/obo/GO_0015031>	"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/GO_0050772>	"Any process that activates or increases the frequency, rate or extent of axonogenesis."	
<http://purl.obolibrary.org/obo/PATO_0001976>	"A surface feature shape quality inhering in a bearer by virtue of the bearer's having or lacking sharp straight-edged teeth pointing to the apex."	
<http://purl.obolibrary.org/obo/GO_0006139>	"Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."	
<http://purl.obolibrary.org/obo/UBERON_0005865>		"AEO:0000149 EHDAA2_RETIRED:0003149"
<http://purl.obolibrary.org/obo/GO_0030030>	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon."	
<http://purl.obolibrary.org/obo/CHEBI_27594>		"WebElements:C KEGG:C06265"
<http://purl.obolibrary.org/obo/PATO_0002314>	"Having the nature or characteristic of, a ligament; composed of the tissue proper to ligaments."	
<http://purl.obolibrary.org/obo/PATO_0001638>	"A necessity quality inhering in a process by virtue of the bearer's being essential or indispensable."	
<http://purl.obolibrary.org/obo/GO_0046189>	"The chemical reactions and pathways resulting in the formation of a phenol, any compound containing one or more hydroxyl groups directly attached to an aromatic carbon ring."	
<http://purl.obolibrary.org/obo/PATO_0000253>		
<http://purl.obolibrary.org/obo/PATO_0000120>		
<http://purl.obolibrary.org/obo/PATO_0001378>	"A polyploidy quality inhering in a bearer by virtue of the bearer's containing chromosomes derived from a single species."	
<http://purl.obolibrary.org/obo/CL_0000362>	"An epithelial cell of the integument (the outer layer of an organism)."	"FMA:62411 MESH:D000078404 CALOHA:TS-0283 BTO:0001470"
<http://purl.obolibrary.org/obo/UBERON_0013704>	"A tubular passage that extends from the primitive pit into the head process during the early stages of embryonic development in mammals. It perforates the splanchnopleure layer so that the yolk sac and the amnion are connected temporarily."	"NCIT:C34230 FMA:293127"
<http://purl.obolibrary.org/obo/GO_1904650>	"Any process that stops, prevents or reduces the frequency, rate or extent of fat cell apoptotic process."	
<http://purl.obolibrary.org/obo/GO_0043270>	"Any process that activates or increases the frequency, rate or extent of the directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/GO_1901164>	"Any process that stops, prevents or reduces the frequency, rate or extent of trophoblast cell migration."	
<http://purl.obolibrary.org/obo/PATO_0001903>	"A directional quality inhering in a bearer by virtue of the bearer's having two directions."	
<http://purl.obolibrary.org/obo/CL_0000988>	"A cell of a hematopoietic lineage."	"FMA:70366 FMA:83598 BTO:0000574 CALOHA:TS-2017"
<http://purl.obolibrary.org/obo/GO_2000691>	"Any process that stops, prevents or reduces the frequency, rate or extent of cardiac muscle cell myoblast differentiation."	
<http://purl.obolibrary.org/obo/GO_0060297>	"Any process that modulates the rate, frequency or extent of myofibril assembly by organization of muscle actomyosin into sarcomeres. The sarcomere is the repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."	
<http://purl.obolibrary.org/obo/UBERON_0014794>	"Any muscle organ that is part of a pectoral appendage (forelimb or pectoral fin)."	
<http://purl.obolibrary.org/obo/GO_2001018>	"Any process that stops, prevents or reduces the frequency, rate or extent of retrograde axon cargo transport."	
<http://purl.obolibrary.org/obo/PATO_0000250>		
<http://purl.obolibrary.org/obo/GO_0014734>	"The enlargement or overgrowth of all or part of an organ due to an increase in size (not length) of individual muscle fibers without cell division. In the case of skeletal muscle cells this happens due to the additional synthesis of sarcomeric proteins and assembly of myofibrils."	
<http://purl.obolibrary.org/obo/BFO_0000020>		
<http://purl.obolibrary.org/obo/GO_2000794>	"Any process that modulates the frequency, rate or extent of epithelial cell proliferation involved in lung morphogenesis."	
<http://purl.obolibrary.org/obo/GO_0005737>	"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."	"Wikipedia:Cytoplasm"
<http://purl.obolibrary.org/obo/GO_0008366>	"Any process in which the axon of a neuron is insulated, and that insulation maintained, thereby preventing dispersion of the electrical signal."	
<http://purl.obolibrary.org/obo/CHEBI_24834>		
<http://purl.obolibrary.org/obo/PATO_0002196>	"A quality which inheres in a molecular entity by virtue of the molecular entity possessing more electrons overall than protons, thus having an overall negative charge."	
<http://purl.obolibrary.org/obo/PATO_0001604>	"A life span which is relatively low."	
<http://purl.obolibrary.org/obo/UBERON_0035539>	"Any of several arteries that arise from the aorta and supply blood to the esophagus."	"UMLS:C0226294 NCIT:C32535 FMA:4149 SCTID:56548006"
<http://purl.obolibrary.org/obo/GO_0032241>	"Any process that activates or increases the frequency, rate or extent of the directed movement of nucleobases, nucleosides, nucleotides and nucleic acids, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/PATO_0001567>	"A spatial pattern inhering in a bearer by virtue of the bearer's not being spread out or scattered about or divided up."	
<http://purl.obolibrary.org/obo/GO_0002686>	"Any process that stops, prevents, or reduces the frequency, rate, or extent of leukocyte migration."	
<http://purl.obolibrary.org/obo/PATO_0045034>	"An osmolality which is relatively normal or average odor."	
<http://purl.obolibrary.org/obo/GO_0032289>	"The process in which the wraps of cell membrane that constitute myelin are laid down around an axon by an oligodendrocyte in the central nervous system."	
<http://purl.obolibrary.org/obo/UBERON_0009127>	"Cranial ganglion which develops from an epibranchial placode."	"TAO:0001555 ZFA:0001555"
<http://purl.obolibrary.org/obo/UBERON_0004638>	"An endothelium that lines the blood vasculature. Other endothelia may line lymph vessels, the heart."	"NCIT:C53395 TAO:0005257 ZFA:0005257 BTO:0000766 MA:0000709 EMAPA:35176 CALOHA:TS-2155"
<http://purl.obolibrary.org/obo/UBERON_0004808>	"An epithelium that is part of a digestive system [Automatically generated definition]."	"MA:0001520 EMAPA:32683"
<http://purl.obolibrary.org/obo/PATO_0001551>	"A sensitivity of a process which is higher than normal or average."	
<http://purl.obolibrary.org/obo/PATO_0000251>		
<http://purl.obolibrary.org/obo/PATO_0002494>	"An orientation quality inhering in a bearer by virtue of the bearer having a position that is directed distally."	
<http://purl.obolibrary.org/obo/CHEBI_24432>	"A role played by the molecular entity or part thereof within a biological context."	
<http://purl.obolibrary.org/obo/PATO_0001563>	"A mass which is higher than normal or average."	
<http://purl.obolibrary.org/obo/UBERON_0002354>	"The cardiac Purkinje fiber is part of the cardiac conduction system that receives signals from the bundle of His and innervates the ventricular cardiac muscle."	"MESH:D011690 BTO:0001735 NCIT:C33430 EMAPA:35718 MA:0000096 FMA:9492 GAID:560 Wikipedia:Purkinje_fiber"
<http://purl.obolibrary.org/obo/GO_0032065>	"A process in which a protein or protein complex is maintained in a specific location in the cell cortex."	
<http://purl.obolibrary.org/obo/PATO_0000329>	"A color pattern inhering in a bearer by virtue of bearer's being marked with irregularly shaped spots or blots of a different hue or degree of saturation."	
<http://purl.obolibrary.org/obo/GO_0010701>	"Any process that increases the frequency, rate or extent of the regulated release of norepinephrine."	
<http://purl.obolibrary.org/obo/PATO_0001098>		
<http://purl.obolibrary.org/obo/GO_0036334>	"Any biological process involved in the maintenance of the steady-state number of epidermal stem cells within a population of cells."	
<http://purl.obolibrary.org/obo/PATO_0000595>	"A volume which is relatively high."	
<http://purl.obolibrary.org/obo/GO_0048857>	"The biological process whose specific outcome is the progression of a neural nucleus from its initial condition to its mature state. A neural nucleus is an anatomical structure consisting of a discrete aggregate of neuronal soma."	
<http://purl.obolibrary.org/obo/GO_0043249>	"A developmental process, independent of morphogenetic (shape) change, that is required for an erythrocyte to attain its fully functional state."	
<http://purl.obolibrary.org/obo/PATO_0002353>	"A quality that inheres in a bearer in virtue of its realizing one of its functions."	
<http://purl.obolibrary.org/obo/CHEBI_73398>	"A mancude heterobicyclic organic group consisting of a benzene ring fused to a pyrrole ring."	
<http://purl.obolibrary.org/obo/PATO_0060002>	"A quality inhering in a bearer by virtue of the bearer's being present in males and absent from females in members of the same species."	
<http://purl.obolibrary.org/obo/PATO_0000733>		
<http://purl.obolibrary.org/obo/PATO_0001923>	"A positional quality inhering in a bearer by virtue of the bearer's being positioned towards the side of an organism."	
<http://purl.obolibrary.org/obo/GO_0098544>	"Any process in which a protein complex is maintained in a location and prevented from moving elsewhere. These include sequestration, stabilization to prevent transport elsewhere and the active retrieval of protein complexes that move away."	
<http://purl.obolibrary.org/obo/UBERON_0036242>	"A notochord that has persisted beyond the embryonic stage."	
<http://purl.obolibrary.org/obo/GO_0048860>	"The process resulting in the physical partitioning and separation of a glioblast into daughter cells."	
<http://purl.obolibrary.org/obo/PATO_0000866>		
<http://purl.obolibrary.org/obo/GO_1901165>	"Any process that activates or increases the frequency, rate or extent of trophoblast cell migration."	
<http://purl.obolibrary.org/obo/GO_0048368>	"The process whose specific outcome is the progression of the lateral mesoderm over time, from its formation to the mature structure."	
<http://purl.obolibrary.org/obo/GO_0032224>	"Any process that activates, maintains or increases the frequency, rate or extent of cholinergic synaptic transmission, the process of communication from a neuron to another neuron across a synapse using the neurotransmitter acetylcholine."	
<http://purl.obolibrary.org/obo/PATO_0001361>	"A texture quality inhering in a bearer by virtue of the bearer's being covered with warts or projections that resemble warts resulting in a hard rough surface."	
